Datum,Doklad,Částka,Popis,MD,Dal,Poznámka,
01.01.2020,ID001,100000,Počáteční stav - 411,701000,411000,,
01.01.2020,ID001,50000,Počáteční stav - 221,221000,701000,,
01.01.2020,ID001,50000,Počáteční stav - 211,211000,701000,,
02.01.2020,FAP001,15000,Nájemné na únor,518001,321000,,
02.01.2020,BV1,15000,Platba nájemného,321000,221000,,
15.02.2020,FAV15022020,100000,VyFa za prodej služeb,311000,602001,,
20.02.2020,BV2,100000,Platba faktury od odběratele,221000,311000,FAV15022020,
31.12.2020,ID002,100000,Konečný stav - 411,411000,702000,,
31.12.2020,ID002,50000,Konečný stav - 211,702000,211000,,
31.12.2020,ID002,135000,Konečný stav - 221,702000,221000,,
31.12.2020,ID002,15000,Uzavření účtu - 518001,710000,518001,,
31.12.2020,ID002,100000,Uzavření účtu - 602001,602001,710000,,
31.12.2020,ID002,85000,Zaúčtování zisku,710000,702000,,
